Tribunal,Ano,Mês,Acórdão,Homologação de Acordo,Decisaão monocrárica,Total,Data Publicação 1,Data Publicação 2
tjms,2016,Janeiro,1578,0,1720,3298,01-01-2016,31-01-2016
tjms,2016,Fevereiro,0,0,0,0,01-02-2016,29-02-2016
tjms,2016,Março,0,0,0,0,01-03-2016,31-03-2016
tjms,2016,Abril,3144,0,2394,5538,01-04-2016,30-04-2016
tjms,2016,Maio,3022,0,2667,5689,01-05-2016,31-05-2016
tjms,2016,Junho,3728,0,2205,5933,01-06-2016,30-06-2016
tjms,2016,Julho,0,0,0,0,01-07-2016,31-07-2016
tjms,2016,Agosto,3811,0,1770,5581,01-08-2016,31-08-2016
tjms,2016,Setembro,4072,0,2470,6542,01-09-2016,30-09-2016
tjms,2016,Outubro,2938,0,1967,4905,01-10-2016,31-10-2016
tjms,2016,Novembro,0,0,0,0,01-11-2016,30-11-2016
tjms,2016,Dezembro,2583,0,1426,4009,01-12-2016,31-12-2016
tjms,2017,Janeiro,1555,0,1182,2737,01-01-2017,31-01-2017
tjms,2017,Fevereiro,4117,0,1699,5816,01-02-2017,28-02-2017
tjms,2017,Março,4908,0,1957,6865,01-03-2017,31-03-2017
tjms,2017,Abril,3337,0,1760,5097,01-04-2017,30-04-2017
tjms,2017,Maio,0,0,0,0,01-05-2017,31-05-2017
tjms,2017,Junho,4949,0,1629,6578,01-06-2017,30-06-2017
tjms,2017,Julho,5385,0,2674,8059,01-07-2017,31-07-2017
tjms,2017,Agosto,6248,0,2514,8762,01-08-2017,31-08-2017
tjms,2017,Setembro,5668,0,1875,7543,01-09-2017,30-09-2017
tjms,2017,Outubro,0,0,0,0,01-10-2017,31-10-2017
tjms,2017,Novembro,0,0,0,0,01-11-2017,30-11-2017
tjms,2017,Dezembro,3233,0,1460,4693,01-12-2017,31-12-2017
tjms,2018,Janeiro,0,0,0,0,01-01-2018,31-01-2018
tjms,2018,Fevereiro,0,0,0,0,01-02-2018,28-02-2018
tjms,2018,Março,0,0,0,0,01-03-2018,31-03-2018
tjms,2018,Abril,6004,0,2030,8034,01-04-2018,30-04-2018
tjms,2018,Maio,4615,0,3153,7768,01-05-2018,31-05-2018
tjms,2018,Junho,4612,0,3442,8054,01-06-2018,30-06-2018
tjms,2018,Julho,4752,0,2027,6779,01-07-2018,31-07-2018
tjms,2018,Agosto,7068,0,2591,9659,01-08-2018,31-08-2018
tjms,2018,Setembro,0,0,0,0,01-09-2018,30-09-2018
tjms,2018,Outubro,0,0,0,0,01-10-2018,31-10-2018
tjms,2018,Novembro,0,0,0,0,01-11-2018,30-11-2018
tjms,2018,Dezembro,0,0,0,0,01-12-2018,31-12-2018
tjms,2019,Janeiro,0,0,0,0,01-01-2019,31-01-2019
tjms,2019,Fevereiro,6696,0,2912,9608,01-02-2019,28-02-2019
